subtipo,data,total_chamados
Perturbação do sossego,2020-11-23,55
Perturbação do sossego,2020-11-24,36
Perturbação do sossego,2020-11-25,31
Perturbação do sossego,2020-11-26,31
Perturbação do sossego,2020-11-27,56
Perturbação do sossego,2020-11-28,51
Perturbação do sossego,2020-11-29,82
Perturbação do sossego,2020-11-30,29
Perturbação do sossego,2020-12-01,31
Perturbação do sossego,2020-12-02,27
Perturbação do sossego,2020-12-03,21
Perturbação do sossego,2020-12-04,40
Perturbação do sossego,2020-12-05,70
Perturbação do sossego,2020-12-06,61
Perturbação do sossego,2020-12-07,30
Perturbação do sossego,2020-12-08,23
Perturbação do sossego,2020-12-09,32
Perturbação do sossego,2020-12-10,46
Perturbação do sossego,2020-12-11,49
Perturbação do sossego,2020-12-12,72
Perturbação do sossego,2020-12-13,49
Perturbação do sossego,2020-12-14,43
Perturbação do sossego,2020-12-15,19
Perturbação do sossego,2020-12-16,44
Perturbação do sossego,2020-12-17,46
Perturbação do sossego,2020-12-18,36
Perturbação do sossego,2020-12-19,51
Perturbação do sossego,2020-12-20,61
Perturbação do sossego,2020-12-21,14
Perturbação do sossego,2020-12-22,23
Perturbação do sossego,2020-12-23,27
Perturbação do sossego,2020-12-24,31
Perturbação do sossego,2020-12-25,40
Perturbação do sossego,2020-12-26,44
Perturbação do sossego,2020-12-27,44
Perturbação do sossego,2020-12-28,35
Perturbação do sossego,2020-12-29,19
Perturbação do sossego,2020-12-30,33
Perturbação do sossego,2020-12-31,36
Perturbação do sossego,2024-03-08,1
Perturbação do sossego,2024-03-09,1
Perturbação do sossego,2024-03-11,1
Perturbação do sossego,2024-03-13,2
Perturbação do sossego,2024-03-14,2
Perturbação do sossego,2024-03-16,1
Perturbação do sossego,2024-03-20,1
Perturbação do sossego,2024-03-22,1
