evento_id,evento,data_inicial,data_final,id_chamado
5,Réveillon,2023-12-30,2024-01-01,19661279
5,Réveillon,2023-12-30,2024-01-01,19661331
5,Réveillon,2023-12-30,2024-01-01,19661364
5,Réveillon,2023-12-30,2024-01-01,19661377
5,Réveillon,2023-12-30,2024-01-01,19661442
5,Réveillon,2023-12-30,2024-01-01,19661447
6,Carnaval,2024-02-10,2024-02-14,19884648
6,Carnaval,2024-02-10,2024-02-14,19884658
6,Carnaval,2024-02-10,2024-02-14,19884662
6,Carnaval,2024-02-10,2024-02-14,19884667
6,Carnaval,2024-02-10,2024-02-14,19884671
6,Carnaval,2024-02-10,2024-02-14,19884672
6,Carnaval,2024-02-10,2024-02-14,19884676
6,Carnaval,2024-02-10,2024-02-14,19884678
6,Carnaval,2024-02-10,2024-02-14,19884679
6,Carnaval,2024-02-10,2024-02-14,19884689
6,Carnaval,2024-02-10,2024-02-14,19884702
6,Carnaval,2024-02-10,2024-02-14,19884722
6,Carnaval,2024-02-10,2024-02-14,19884724
6,Carnaval,2024-02-10,2024-02-14,19884725
6,Carnaval,2024-02-10,2024-02-14,19884752
6,Carnaval,2024-02-10,2024-02-14,19885182
6,Carnaval,2024-02-10,2024-02-14,19885294
6,Carnaval,2024-02-10,2024-02-14,19885367
6,Carnaval,2024-02-10,2024-02-14,19885415
6,Carnaval,2024-02-10,2024-02-14,19885595
6,Carnaval,2024-02-10,2024-02-14,19885641
6,Carnaval,2024-02-10,2024-02-14,19885850
6,Carnaval,2024-02-10,2024-02-14,19885865
6,Carnaval,2024-02-10,2024-02-14,19886005
6,Carnaval,2024-02-10,2024-02-14,19886045
6,Carnaval,2024-02-10,2024-02-14,19886063
6,Carnaval,2024-02-10,2024-02-14,19886164
6,Carnaval,2024-02-10,2024-02-14,19886184
6,Carnaval,2024-02-10,2024-02-14,19886227
6,Carnaval,2024-02-10,2024-02-14,19886241
6,Carnaval,2024-02-10,2024-02-14,19886244
6,Carnaval,2024-02-10,2024-02-14,19886245
6,Carnaval,2024-02-10,2024-02-14,19886266
6,Carnaval,2024-02-10,2024-02-14,19886277
6,Carnaval,2024-02-10,2024-02-14,19886301
6,Carnaval,2024-02-10,2024-02-14,19886348
6,Carnaval,2024-02-10,2024-02-14,19886422
6,Carnaval,2024-02-10,2024-02-14,19886487
6,Carnaval,2024-02-10,2024-02-14,19886488
6,Carnaval,2024-02-10,2024-02-14,19886490
6,Carnaval,2024-02-10,2024-02-14,19886491
6,Carnaval,2024-02-10,2024-02-14,19886584
6,Carnaval,2024-02-10,2024-02-14,19886589
6,Carnaval,2024-02-10,2024-02-14,19886593
6,Carnaval,2024-02-10,2024-02-14,19886598
6,Carnaval,2024-02-10,2024-02-14,19886599
6,Carnaval,2024-02-10,2024-02-14,19886604
6,Carnaval,2024-02-10,2024-02-14,19886628
6,Carnaval,2024-02-10,2024-02-14,19886712
6,Carnaval,2024-02-10,2024-02-14,19886852
6,Carnaval,2024-02-10,2024-02-14,19886886
6,Carnaval,2024-02-10,2024-02-14,19887044
6,Carnaval,2024-02-10,2024-02-14,19887062
6,Carnaval,2024-02-10,2024-02-14,19887127
6,Carnaval,2024-02-10,2024-02-14,19887159
6,Carnaval,2024-02-10,2024-02-14,19887165
6,Carnaval,2024-02-10,2024-02-14,19887192
6,Carnaval,2024-02-10,2024-02-14,19887198
6,Carnaval,2024-02-10,2024-02-14,19887245
6,Carnaval,2024-02-10,2024-02-14,19887271
6,Carnaval,2024-02-10,2024-02-14,19887293
6,Carnaval,2024-02-10,2024-02-14,19887333
6,Carnaval,2024-02-10,2024-02-14,19887352
6,Carnaval,2024-02-10,2024-02-14,19887362
6,Carnaval,2024-02-10,2024-02-14,19887394
6,Carnaval,2024-02-10,2024-02-14,19887502
6,Carnaval,2024-02-10,2024-02-14,19887517
6,Carnaval,2024-02-10,2024-02-14,19887534
6,Carnaval,2024-02-10,2024-02-14,19887556
6,Carnaval,2024-02-10,2024-02-14,19887608
6,Carnaval,2024-02-10,2024-02-14,19887633
6,Carnaval,2024-02-10,2024-02-14,19887679
6,Carnaval,2024-02-10,2024-02-14,19887704
6,Carnaval,2024-02-10,2024-02-14,19887734
6,Carnaval,2024-02-10,2024-02-14,19887765
6,Carnaval,2024-02-10,2024-02-14,19887770
6,Carnaval,2024-02-10,2024-02-14,19887784
6,Carnaval,2024-02-10,2024-02-14,19887817
6,Carnaval,2024-02-10,2024-02-14,19887854
6,Carnaval,2024-02-10,2024-02-14,19887928
6,Carnaval,2024-02-10,2024-02-14,19887937
6,Carnaval,2024-02-10,2024-02-14,19887946
6,Carnaval,2024-02-10,2024-02-14,19887963
6,Carnaval,2024-02-10,2024-02-14,19887972
6,Carnaval,2024-02-10,2024-02-14,19887984
6,Carnaval,2024-02-10,2024-02-14,19888005
6,Carnaval,2024-02-10,2024-02-14,19888141
6,Carnaval,2024-02-10,2024-02-14,19888611
6,Carnaval,2024-02-10,2024-02-14,19888765
6,Carnaval,2024-02-10,2024-02-14,19888826
6,Carnaval,2024-02-10,2024-02-14,19888914
